"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Sword of Forge and Frontier","","M","2345","1.05","2252","1.05","13533","56.0%","2367","58.9%","3009","59.3%","5376","59.1%","8098","53.8%","5.3pp"
"Vraska, Betrayal's Sting","B","M","2425","1.10","2087","1.09","10948","53.8%","1817","55.2%","2549","59.5%","4366","57.7%","6521","50.9%","6.8pp"
"The Eternal Wanderer","W","R","5028","1.16","4427","1.15","24795","58.2%","4181","62.9%","5753","66.1%","9934","64.8%","14789","53.7%","11.1pp"
"Nissa, Ascended Animist","G","M","2558","1.16","2178","1.15","11594","58.0%","1913","63.9%","2689","68.6%","4602","66.7%","6957","52.1%","14.5pp"
"Elesh Norn, Mother of Machines","W","M","2526","1.16","2172","1.15","11930","57.5%","1972","62.1%","2671","62.6%","4643","62.4%","7248","54.3%","8.1pp"
"Sheoldred, the Apocalypse","B","M","1482","1.19","1183","1.17","6103","56.8%","1023","66.4%","1503","64.9%","2526","65.5%","3539","50.5%","15.0pp"
"Vorinclex, Monstrous Raider","G","M","1587","1.27","1204","1.24","6523","57.2%","1091","60.2%","1439","61.9%","2530","61.2%","3976","54.5%","6.7pp"
"Mondrak, Glory Dominus","W","M","2799","1.30","2001","1.27","10040","53.9%","1759","54.6%","2126","54.8%","3885","54.7%","6144","53.5%","1.2pp"
"Bloated Contaminator","G","R","5684","1.33","4291","1.30","23414","56.1%","4238","62.2%","5164","57.4%","9402","59.5%","13967","53.7%","5.9pp"
"Argentum Masticore","","R","5692","1.33","4714","1.30","27078","54.5%","4395","54.3%","6088","55.2%","10483","54.8%","16510","54.2%","0.6pp"
"Lukka, Bound to Ruin","RG","M","2847","1.34","2241","1.31","12166","57.6%","2050","62.0%","2735","63.0%","4785","62.6%","7372","54.3%","8.3pp"
"White Sun's Twilight","W","R","5706","1.35","4422","1.32","24266","57.5%","3944","62.2%","5394","65.0%","9338","63.8%","14876","53.5%","10.4pp"
"Thrun, Breaker of Silence","G","R","5846","1.35","4508","1.32","24374","56.2%","4107","61.3%","5385","62.2%","9492","61.8%","14832","52.7%","9.1pp"
"Jace, the Perfected Mind","U","M","3111","1.39","2014","1.34","9458","54.4%","1604","58.9%","2407","59.8%","4011","59.4%","5360","50.6%","8.9pp"
"Zopandrel, Hunger Dominus","G","M","3042","1.43","2032","1.40","9972","54.5%","1514","56.4%","2272","59.8%","3786","58.4%","6165","52.1%","6.3pp"
"Tyrranax Rex","G","M","3054","1.42","2000","1.41","9950","54.5%","1524","57.2%","2251","61.1%","3775","59.5%","6153","51.5%","8.1pp"
"Skrelv's Hive","W","R","6018","1.44","3927","1.42","20847","55.5%","3892","62.6%","4488","53.0%","8380","57.4%","12441","54.2%","3.3pp"
"Black Sun's Twilight","B","R","6397","1.49","3963","1.45","19689","52.7%","3169","53.2%","4675","56.9%","7844","55.4%","11848","50.8%","4.6pp"
"Solphim, Mayhem Dominus","R","M","3346","1.55","2168","1.51","11407","56.1%","1971","57.6%","2381","59.1%","4352","58.4%","7040","54.7%","3.7pp"
"Phyrexian Vindicator","W","M","3206","1.59","1732","1.52","7332","55.0%","1209","60.9%","1678","57.3%","2887","58.8%","4438","52.6%","6.1pp"
"Glissa Sunslayer","BG","R","6562","1.59","4138","1.52","19776","53.5%","3462","59.9%","4393","57.9%","7855","58.8%","11844","49.9%","8.9pp"
"Skrelv, Defector Mite","W","R","6810","1.55","3999","1.52","20725","55.4%","3840","61.6%","4303","54.0%","8143","57.6%","12560","54.1%","3.5pp"
"Tekuthal, Inquiry Dominus","U","M","3354","1.63","1872","1.53","8606","52.3%","1442","55.1%","2170","54.4%","3612","54.7%","4905","50.3%","4.4pp"
"Evolved Spinoderm","G","R","6881","1.57","4572","1.54","24443","56.5%","4242","61.6%","5446","58.9%","9688","60.1%","14715","54.1%","6.0pp"
"Kaito, Dancing Shadow","UB","R","7007","1.62","4029","1.55","17877","53.4%","3022","56.3%","4484","60.5%","7506","58.8%","10185","49.1%","9.7pp"
"Drivnod, Carnage Dominus","B","M","3501","1.60","1571","1.57","6307","50.5%","986","46.5%","1516","51.2%","2502","49.3%","3778","51.3%","-2.0pp"
"Urabrask, Heretic Praetor","R","M","1913","1.60","1341","1.57","7243","56.0%","1194","61.4%","1630","58.2%","2824","59.6%","4400","53.7%","5.9pp"
"Phyrexian Obliterator","B","M","3603","1.65","1468","1.61","5205","48.7%","837","50.2%","1248","50.7%","2085","50.5%","3094","47.5%","3.0pp"
"Archfiend of the Dross","B","R","7274","1.70","4248","1.63","20878","55.9%","3532","62.2%","5066","63.6%","8598","63.1%","12161","50.8%","12.3pp"
"Koth, Fire of Resistance","R","R","7055","1.67","4757","1.64","25777","57.2%","4428","60.2%","5569","60.4%","9997","60.3%","15726","55.3%","5.0pp"
"Urabrask's Forge","R","R","7483","1.77","5084","1.74","29357","57.7%","5279","66.2%","6480","58.6%","11759","62.0%","17539","54.8%","7.3pp"
"Venerated Rotpriest","G","R","7626","1.77","3297","1.74","14479","53.6%","2727","58.5%","3062","53.4%","5789","55.8%","8675","52.0%","3.8pp"
"Dragonwing Glider","R","R","7546","1.78","5377","1.75","30305","58.0%","4982","60.7%","6795","63.1%","11777","62.1%","18489","55.4%","6.7pp"
"Jin-Gitaxias, Progress Tyrant","U","M","2262","1.82","992","1.78","4193","51.7%","618","48.9%","1116","56.7%","1734","53.9%","2427","49.9%","4.1pp"
"Kaya, Intangible Slayer","WB","R","7394","1.86","3631","1.78","14555","53.5%","2228","54.1%","3339","58.5%","5567","56.7%","8942","51.4%","5.4pp"
"Blue Sun's Twilight","U","R","7988","1.88","4373","1.82","22152","55.7%","3637","57.8%","5997","63.3%","9634","61.3%","12542","51.6%","9.6pp"
"Migloz, Maze Crusher","RG","R","8224","1.99","5136","1.92","27465","59.1%","4870","67.8%","5996","65.9%","10866","66.8%","16575","54.0%","12.7pp"
"Capricious Hellraiser","R","M","4169","2.04","1993","2.05","8625","54.7%","1300","54.2%","2042","56.6%","3342","55.6%","5268","54.1%","1.6pp"
"Vraan, Executioner Thane","B","R","8709","2.04","3254","2.09","14611","52.8%","2648","53.1%","3314","55.7%","5962","54.6%","8603","51.6%","3.0pp"
"Annex Sentry","W","U","25547","1.98","14043","2.11","79635","58.1%","14150","63.0%","17035","62.3%","31185","62.6%","48314","55.1%","7.5pp"
"Kemba, Kha Enduring","W","R","9268","2.19","4342","2.20","21741","56.4%","4046","57.8%","4455","57.6%","8501","57.7%","13229","55.6%","2.1pp"
"Ossification","W","U","26171","2.04","13825","2.21","76196","56.9%","13252","58.4%","16317","60.0%","29569","59.3%","46510","55.3%","4.0pp"
"Nahiri, the Unforgiving","WR","M","4725","2.22","1635","2.28","5100","52.6%","840","50.7%","1090","51.5%","1930","51.1%","3166","53.4%","-2.3pp"
"Mercurial Spelldancer","U","R","9607","2.28","3808","2.33","17110","51.5%","3084","53.6%","4265","52.3%","7349","52.8%","9643","50.4%","2.4pp"
"Unctus, Grand Metatect","U","R","9809","2.33","4054","2.35","19015","54.2%","3309","58.8%","4737","57.4%","8046","58.0%","10846","51.4%","6.6pp"
"Drown in Ichor","B","U","28289","2.14","11221","2.38","57463","54.5%","9878","56.1%","13737","59.9%","23615","58.3%","33725","51.8%","6.5pp"
"Atraxa, Grand Unifier","WUBG","M","5024","2.37","1574","2.42","4430","51.3%","695","57.4%","1169","64.7%","1864","62.0%","2546","43.3%","18.6pp"
"Ria Ivor, Bane of Bladehold","WB","R","9855","2.33","3333","2.42","13745","54.0%","2275","56.5%","3026","56.3%","5301","56.4%","8410","52.6%","3.8pp"
"Atraxa's Skitterfang","","U","30103","2.22","15278","2.49","90944","55.7%","15886","54.9%","20118","58.6%","36004","57.0%","54769","54.8%","2.1pp"
"All Will Be One","R","M","5169","2.50","1813","2.54","6181","52.0%","1004","49.2%","1388","51.4%","2392","50.5%","3768","52.8%","-2.3pp"
"Phyrexian Arena","B","R","10274","2.43","2733","2.57","10344","49.1%","1745","47.3%","2373","46.6%","4118","46.9%","6192","50.5%","-3.6pp"
"Venser, Corpse Puppet","UB","R","10946","2.64","3150","2.76","11337","51.5%","1977","57.6%","2900","55.7%","4877","56.4%","6317","47.5%","9.0pp"
"Vindictive Flamestoker","R","R","11937","2.62","5107","2.77","27141","56.4%","4858","59.6%","5880","54.8%","10738","57.0%","16359","56.0%","0.9pp"
"Jawbone Duelist","W","U","32513","2.47","12413","2.78","67246","55.7%","12472","57.9%","13848","54.2%","26320","56.0%","40897","55.6%","0.4pp"
"Armored Scrapgorger","G","U","33618","2.51","14790","2.79","80557","56.4%","14761","63.1%","17409","54.8%","32170","58.6%","48325","55.0%","3.6pp"
"The Filigree Sylex","","R","11309","2.55","3270","2.81","14467","53.5%","2501","54.1%","3335","55.8%","5836","55.1%","8595","52.5%","2.6pp"
"Evolving Adaptive","G","U","34613","2.59","15391","2.85","85040","57.4%","15407","64.6%","18449","55.9%","33856","59.9%","51127","55.8%","4.0pp"
"Mirrex","","R","11118","2.46","3185","2.85","17310","54.0%","3113","54.4%","3846","55.7%","6959","55.1%","10148","53.1%","2.0pp"
"Rebel Salvo","R","U","34640","2.64","17676","2.86","102006","58.0%","17362","59.0%","22670","60.8%","40032","60.0%","61947","56.6%","3.5pp"
"Infectious Bite","G","U","35222","2.58","12760","2.98","68762","55.4%","11106","55.4%","15281","58.0%","26387","56.9%","42318","54.4%","2.5pp"
"Blade of Shared Souls","U","R","12370","2.80","3659","3.12","14332","52.0%","2442","50.7%","3482","52.9%","5924","52.0%","8353","52.0%","-0.0pp"
"Green Sun's Twilight","G","R","12493","2.77","2809","3.26","10411","51.3%","1713","48.2%","2404","51.2%","4117","50.0%","6290","52.1%","-2.1pp"
"Malcator, Purity Overseer","WU","R","13397","3.11","4071","3.29","14437","55.1%","2567","59.8%","3481","58.3%","6048","58.9%","8337","52.3%","6.6pp"
"Bilious Skulldweller","B","U","38155","2.78","10632","3.33","54681","54.7%","10046","61.4%","12297","54.2%","22343","57.5%","32189","52.8%","4.6pp"
"Ovika, Enigma Goliath","UR","R","12982","3.06","3875","3.36","12773","50.4%","1874","50.5%","3389","54.7%","5263","53.2%","7412","48.3%","4.9pp"
"Anoint with Affliction","B","C","103669","2.84","31724","3.37","162569","54.6%","28477","56.5%","37797","58.2%","66274","57.4%","95823","52.5%","4.9pp"
"Cankerbloom","G","U","40440","2.88","14155","3.38","77914","57.1%","14327","60.1%","16775","58.1%","31102","59.0%","46721","55.8%","3.2pp"
"Viral Spawning","G","U","39319","2.93","11918","3.43","57003","54.2%","9935","54.1%","12309","55.8%","22244","55.0%","34684","53.7%","1.3pp"
"Planar Disruption","W","C","107991","2.89","37704","3.45","206586","56.3%","35701","56.0%","44106","58.6%","79807","57.4%","126484","55.6%","1.8pp"
"Myr Convert","","U","42252","2.92","13910","3.58","78459","54.1%","14902","54.9%","16849","52.0%","31751","53.4%","46220","54.6%","-1.3pp"
"Karumonix, the Rat King","B","R","13792","2.94","3091","3.60","11333","52.1%","1895","51.8%","2581","51.1%","4476","51.4%","6801","52.5%","-1.1pp"
"Venomous Brutalizer","G","U","39830","2.93","9450","3.63","46111","53.6%","7436","53.2%","10059","54.0%","17495","53.7%","28541","53.5%","0.2pp"
"Ezuri, Stalker of Spheres","UG","R","13487","3.20","3024","3.65","8959","49.2%","1451","48.3%","2228","52.6%","3679","50.9%","5194","47.9%","3.0pp"
"Jor Kadeen, First Goldwarden","WR","R","14643","3.40","4475","3.68","17433","57.0%","3058","58.0%","3672","57.4%","6730","57.7%","10702","56.5%","1.2pp"
"The Seedcore","","R","14345","3.00","3482","3.70","17006","54.0%","3069","55.3%","3709","52.8%","6778","54.0%","10034","54.0%","-0.0pp"
"Melira, the Living Cure","WG","R","14028","3.23","3327","3.74","10374","54.4%","1784","58.6%","2104","53.2%","3888","55.7%","6473","53.7%","2.0pp"
"Contagious Vorrac","G","C","119561","3.18","42789","3.75","236682","57.1%","42646","60.2%","51444","59.0%","94090","59.5%","142308","55.5%","4.0pp"
"Volt Charge","R","C","118374","3.19","44758","3.78","251632","56.4%","42511","54.6%","55969","57.9%","98480","56.5%","152904","56.3%","0.1pp"
"Hexgold Slash","R","C","121927","3.32","48557","3.82","274775","57.4%","48225","58.7%","59953","58.4%","108178","58.5%","166392","56.7%","1.8pp"
"Nimraiser Paladin","B","U","43498","3.17","10224","3.87","48152","52.9%","7453","51.2%","11197","55.2%","18650","53.6%","29348","52.4%","1.2pp"
"Hexgold Halberd","R","U","46466","3.40","17559","3.90","98276","57.3%","17927","59.7%","20617","56.3%","38544","57.9%","59668","56.8%","1.0pp"
"Tyvar, Jubilant Brawler","BG","R","13375","2.99","2122","3.91","3331","49.7%","535","48.4%","809","49.6%","1344","49.1%","1973","49.9%","-0.8pp"
"Cinderslash Ravager","RG","U","46356","3.62","17508","3.93","89610","58.6%","14499","61.7%","19820","62.5%","34319","62.2%","55227","56.4%","5.8pp"
"Hexgold Hoverwings","W","U","45983","3.42","15529","3.95","79944","57.0%","13202","58.6%","16897","59.7%","30099","59.2%","49782","55.7%","3.5pp"
"Bladed Ambassador","W","U","46252","3.38","14866","3.95","75924","56.9%","13803","59.0%","15843","57.6%","29646","58.2%","46245","56.1%","2.1pp"
"Porcelain Zealot","W","U","44633","3.33","11419","4.07","56200","55.2%","9268","54.9%","11874","56.2%","21142","55.6%","35013","54.9%","0.7pp"
"Tyvar's Stand","G","U","46819","3.35","13549","4.11","71322","55.9%","11279","55.7%","15516","58.1%","26795","57.1%","44454","55.2%","1.9pp"
"Vivisection Evangelist","WB","U","45047","3.46","11354","4.12","50744","54.7%","7814","53.4%","11356","58.1%","19170","56.2%","31484","53.9%","2.3pp"
"Conduit of Worlds","G","R","15316","3.38","3082","4.14","9385","50.9%","1504","46.8%","2173","50.1%","3677","48.7%","5684","52.2%","-3.4pp"
"Slaughter Singer","WG","U","45526","3.66","11416","4.16","47110","55.1%","8299","59.7%","9679","57.3%","17978","58.4%","29113","53.1%","5.3pp"
"Flensing Raptor","W","C","127792","3.35","32244","4.22","169459","56.0%","29383","56.3%","35358","57.8%","64741","57.1%","104610","55.4%","1.7pp"
"Bladehold War-Whip","WR","U","49696","3.96","17009","4.27","78216","58.6%","13626","63.9%","16289","61.6%","29915","62.6%","48286","56.2%","6.4pp"
"Ichorplate Golem","","U","49698","3.49","13738","4.27","64305","54.7%","11281","54.0%","14395","54.3%","25676","54.1%","38483","55.0%","-0.9pp"
"Trawler Drake","U","U","47877","3.61","11530","4.39","51915","51.4%","9046","52.6%","12910","53.3%","21956","53.0%","29582","50.2%","2.7pp"
"Necrogen Rotpriest","BG","U","45267","3.52","8931","4.41","35402","51.3%","5964","53.2%","7954","53.8%","13918","53.5%","21412","49.7%","3.8pp"
"Duelist of Deep Faith","W","C","137460","3.59","34651","4.58","187470","55.6%","34538","56.9%","38683","53.9%","73221","55.3%","114188","55.8%","-0.5pp"
"Incubation Sac","G","U","53326","3.94","16218","4.63","79632","56.4%","14031","57.7%","17625","56.8%","31656","57.2%","47865","55.9%","1.2pp"
"Unctus's Retrofitter","U","U","51973","3.98","13379","4.66","57839","54.6%","9828","58.3%","14232","57.8%","24060","58.0%","33503","52.1%","5.9pp"
"Urabrask's Anointer","R","U","52583","3.87","15240","4.67","74712","56.1%","12121","55.2%","16683","57.6%","28804","56.6%","45793","55.7%","0.9pp"
"The Mycosynth Gardens","","R","17629","3.61","3398","4.75","13663","51.9%","2388","51.4%","3087","51.2%","5475","51.3%","8044","52.2%","-0.9pp"
"Tablet of Compleation","","R","16374","3.56","2640","4.76","8249","50.0%","1458","50.1%","1923","47.0%","3381","48.4%","4848","51.1%","-2.7pp"
"Thrummingbird","U","U","49550","3.74","9058","4.79","37741","49.6%","6515","49.9%","9279","50.4%","15794","50.2%","21692","49.1%","1.2pp"
"Norn's Wellspring","W","R","16182","3.58","2592","4.82","6657","51.3%","1123","47.0%","1411","50.3%","2534","48.9%","4109","52.8%","-4.0pp"
"Ambulatory Edifice","B","U","53969","3.90","12568","4.85","56795","54.3%","9992","56.9%","12902","55.9%","22894","56.3%","33712","52.9%","3.4pp"
"Sheoldred's Edict","B","U","48079","3.51","6546","4.88","28289","52.9%","4903","54.2%","6515","54.8%","11418","54.6%","16824","51.7%","2.9pp"
"Copperline Gorge","","R","18437","3.58","3663","4.93","12930","55.5%","2406","58.1%","2669","51.1%","5075","54.4%","7700","56.2%","-1.8pp"
"Graaz, Unstoppable Juggernaut","","R","16835","3.79","2541","4.95","4545","49.2%","656","45.3%","1024","47.9%","1680","46.8%","2854","50.6%","-3.7pp"
"Darkslick Shores","","R","17996","3.53","2681","4.99","6185","50.5%","1138","52.6%","1429","49.8%","2567","51.1%","3574","50.1%","1.0pp"
"Razorverge Thicket","","R","18377","3.57","3096","5.05","7615","52.9%","1336","55.3%","1582","47.8%","2918","51.2%","4622","53.8%","-2.5pp"
"Ruthless Predation","G","C","151310","3.89","36231","5.05","192400","55.7%","31167","55.2%","42135","56.7%","73302","56.1%","118905","55.5%","0.6pp"
"Basilica Shepherd","W","C","149740","3.95","34178","5.10","172229","56.4%","26259","57.2%","37191","58.9%","63450","58.2%","108627","55.4%","2.8pp"
"Staff of Compleation","","M","8369","3.71","1146","5.14","1095","44.7%","202","38.1%","263","44.5%","465","41.7%","626","46.8%","-5.1pp"
"Voidwing Hybrid","UB","U","52906","4.18","9440","5.18","33278","51.6%","5775","57.2%","8543","53.5%","14318","55.0%","18602","48.9%","6.1pp"
"Crawling Chorus","W","C","156047","4.16","36444","5.25","185863","56.6%","33828","61.7%","38305","54.5%","72133","57.9%","113662","55.7%","2.1pp"
"Blightbelly Rat","B","C","151867","3.90","26798","5.26","139902","53.8%","25351","55.3%","31396","53.8%","56747","54.5%","82218","53.2%","1.3pp"
"Seachrome Coast","","R","19301","3.76","3077","5.34","6540","51.9%","1181","53.9%","1495","50.2%","2676","51.8%","3836","52.0%","-0.2pp"
"Blackcleave Cliffs","","R","19226","3.80","3107","5.39","5534","51.7%","1058","52.4%","1230","48.8%","2288","50.4%","3198","52.6%","-2.2pp"
"Pestilent Syphoner","B","C","153090","4.01","24260","5.42","121669","52.9%","22052","53.9%","27248","52.4%","49300","53.1%","72109","52.8%","0.3pp"
"Zenith Chronicler","","R","20175","4.03","3810","5.50","13453","53.8%","2452","55.5%","2899","51.0%","5351","53.1%","8092","54.3%","-1.3pp"
"Exuberant Fuseling","R","U","61106","4.46","15761","5.54","78214","57.1%","13914","59.0%","16549","55.1%","30463","56.8%","47705","57.2%","-0.4pp"
"Necrosquito","B","U","55369","4.11","8085","5.56","29032","50.7%","4654","49.2%","6812","52.2%","11466","51.0%","17477","50.5%","0.6pp"
"Scheming Aspirant","B","U","56350","4.19","8798","5.58","31764","51.0%","5630","51.0%","7667","52.1%","13297","51.6%","18285","50.5%","1.1pp"
"The Monumental Facade","","R","20665","4.08","3569","5.59","12287","53.8%","2052","53.6%","2741","53.6%","4793","53.6%","7285","53.8%","-0.2pp"
"Furnace Punisher","R","U","62647","4.54","16881","5.61","85172","57.8%","14677","59.0%","18086","56.6%","32763","57.7%","52354","57.8%","-0.1pp"
"Tamiyo's Immobilizer","U","U","61066","4.60","14832","5.63","63887","52.9%","10492","52.2%","16008","56.0%","26500","54.5%","36922","51.7%","2.8pp"
"Sylvok Battle-Chair","G","U","60794","4.44","13565","5.68","56833","55.2%","8503","54.8%","12747","57.8%","21250","56.6%","35510","54.3%","2.3pp"
"Churning Reservoir","R","U","60250","4.53","13998","5.69","57957","54.1%","9942","52.4%","13070","52.6%","23012","52.5%","34873","55.2%","-2.6pp"
"Ravenous Necrotitan","B","U","55494","4.16","7975","5.75","31074","51.2%","4770","49.9%","7130","51.2%","11900","50.7%","19103","51.5%","-0.8pp"
"Geth, Thane of Contracts","B","R","19102","4.18","2653","5.94","2858","46.0%","472","39.0%","664","44.4%","1136","42.2%","1718","48.6%","-6.4pp"
"Serum Snare","U","U","60678","4.48","10816","5.94","46232","52.1%","7699","51.2%","11879","54.7%","19578","53.3%","26489","51.1%","2.2pp"
"Resistance Skywarden","R","U","62548","4.64","14310","5.94","62008","56.6%","9359","56.7%","13777","57.5%","23136","57.2%","38807","56.3%","0.9pp"
